study,year,location,state,n_spray,brand_name,mean_sev,mean_yld,v_sev,v_yld,yld_check,v_yld_check,sev_check,v_sev_check,log_sev,vi_sev,n2,n3,design
321,2017,PRIMAVERA DO LESTE,MT,3,TFLX + CYPR,37.5,3606.25,43.75708061002174,145509.570533769,2738.25,145509.570533769,81.75,43.75708061002174,3.624340932976365,0.007779036552892754,9,9,1
321,2017,PRIMAVERA DO LESTE,MT,3,PICO + BENZ,25,4046.75,43.75708061002174,145509.570533769,2738.25,145509.570533769,81.75,43.75708061002174,3.2188758248682006,0.017502832244008695,9,9,1
322,2017,PALMEIRA,PR,3,PICO + CYPR,26.875,3203.5,6.92848583877998,11425.39079520694,2803.25,11425.39079520694,58,6.92848583877998,3.2911964864478267,0.002398177899848127,9,9,1
322,2017,PALMEIRA,PR,3,PYRA + EPOX + FLUX,17.725,3596.5,6.92848583877998,11425.39079520694,2803.25,11425.39079520694,58,6.92848583877998,2.874976072418191,0.005513226749194801,9,9,1
322,2017,PALMEIRA,PR,3,AACHECK,58,2803.25,6.92848583877998,11425.39079520694,2803.25,11425.39079520694,58,6.92848583877998,4.060443010546419,5.148993637618891e-4,9,9,1
322,2017,PALMEIRA,PR,3,AZOX + BENZ,18.525,3428.75,6.92848583877998,11425.39079520694,2803.25,11425.39079520694,58,6.92848583877998,2.9191211711821503,0.005047332425474551,9,9,1
322,2017,PALMEIRA,PR,3,TFLX + PROT,18.175,3362.75,6.92848583877998,11425.39079520694,2803.25,11425.39079520694,58,6.92848583877998,2.900047023419583,0.005243599377729494,9,9,1
322,2017,PALMEIRA,PR,3,BIXF + TFLX + PROT,16.275,3560.5,6.92848583877998,11425.39079520694,2803.25,11425.39079520694,58,6.92848583877998,2.789630188094633,0.006539376583613518,9,9,1
322,2017,PALMEIRA,PR,3,PICO + TEBU,26.125,3228,6.92848583877998,11425.39079520694,2803.25,11425.39079520694,58,6.92848583877998,3.262892710284975,0.0025378487997179478,9,9,1
322,2017,PALMEIRA,PR,3,TFLX + CYPR,28.125,3283.75,6.92848583877998,11425.39079520694,2803.25,11425.39079520694,58,6.92848583877998,3.3366588605245844,0.0021897436725033022,9,9,1
322,2017,PALMEIRA,PR,3,PICO + BENZ,12.85,3604.75,6.92848583877998,11425.39079520694,2803.25,11425.39079520694,58,6.92848583877998,2.553343811341229,0.010489917847022634,9,9,1
323,2017,UBERLÂNDIA,MG,4,PICO + CYPR,40,3367.25,91.22521786492368,142084.75462962955,2965,142084.75462962955,82.5,91.22521786492368,3.6888794541139363,0.014253940291394325,9,9,1
323,2017,UBERLÂNDIA,MG,4,PYRA + EPOX + FLUX,11.25,3629.5,91.22521786492368,142084.75462962955,2965,142084.75462962955,82.5,91.22521786492368,2.4203681286504293,0.18019796121466405,9,9,1
323,2017,UBERLÂNDIA,MG,4,AACHECK,82.5,2965,91.22521786492368,142084.75462962955,2965,142084.75462962955,82.5,91.22521786492368,4.412798293340635,0.0033507885349834225,9,9,1
